"vendor_direct_ref","product_direct_ref","rule_id","type","category","enabled_by_default","prototype_enabled","record_type_direct_ref","tags","name","description"
"Amazon AWS","CloudTrail","LEGACY-S00206","match","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.004","AWS CloudTrail - IAM Policy Applied","A policy was attached to a user, group, or role. By default, IAM denies all access to all services for users, and policies must be applied to grant access to AWS services and resources. This signal could indicate a policy is granting additional access within your cloud environment."
"Amazon AWS","CloudTrail","MATCH-S00101","templated_match","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.004","AWS CloudTrail - IAM Privileged Policy Applied to Group","This rule identifies both 'attach' and 'put' actions with this privileged policy.  The difference between 'attach' and 'put' is that 'attach' actions apply a managed policy to an item, where a 'put' action indicates the policy is defined in-line and is part of the items definition. Applying privileged policies to items could indicate hostile action that attempts to increase the privilege level of a user or set of users.  There are legitimate times when this will occur, consider this signal in context of other activities that may indicate suspicious behavior."
"Amazon AWS","CloudTrail","MATCH-S00102","templated_match","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.004","AWS CloudTrail - IAM Privileged Policy Applied to Group (Username)","This rule identifies both 'attach' and 'put' actions with this privileged policy.  The difference between 'attach' and 'put' is that 'attach' actions apply a managed policy to an item, where a 'put' action indicates the policy is defined in-line and is part of the items definition. Applying privileged policies to items could indicate hostile action that attempts to increase the privilege level of a user or set of users.  There are legitimate times when this will occur, consider this signal in context of other activities that may indicate suspicious behavior."
"Amazon AWS","CloudTrail","MATCH-S00104","templated_match","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.004","AWS CloudTrail - IAM Privileged Policy Applied to Role","This rule identifies both 'attach' and 'put' actions with this privileged policy.  The difference between 'attach' and 'put' is that 'attach' actions apply a managed policy to an item, where a 'put' action indicates the policy is defined in-line and is part of the items definition. Applying privileged policies to items could indicate hostile action that attempts to increase the privilege level of a user or set of users.  There are legitimate times when this will occur, consider this signal in context of other activities that may indicate suspicious behavior."
"Amazon AWS","CloudTrail","MATCH-S00099","templated_match","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.004","AWS CloudTrail - IAM Privileged Policy Applied to User","This rule identifies both 'attach' and 'put' actions with this privileged policy.  The difference between 'attach' and 'put' is that 'attach' actions apply a managed policy to an item, where a 'put' action indicates the policy is defined in-line and is part of the items definition. Applying privileged policies to items could indicate hostile action that attempts to increase the privilege level of a user or set of users.  There are legitimate times when this will occur, consider this signal in context of other activities that may indicate suspicious behavior."
"Amazon AWS","CloudTrail","LEGACY-S00207","match","Defense Evasion","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552, _mitreAttackTechnique:T1552.004, _mitreAttackTechnique:T1552.005","AWS CloudTrail - Customer Master Key Disabled or Scheduled for Deletion","The AWS Key Management Service (KMS) can be used to generate key pairs for encrypting and decrypting your data. Disabling or deleting keys can come with heavy destructive consequences as data encrypted with those keys cannot be decrypted. AWS forces users to either disable keys allowing them to be re-enabled at a later time or users must schedule a key deletion at a later time if the keys absolutely must be removed. The default time for scheduling a key deletion is 30 days."
"Amazon AWS","CloudTrail","MATCH-S00113","templated_match","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1489, _mitreAttackTechnique:T1578, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1578.004, _mitreAttackTechnique:T1562.008","AWS CloudTrail - Logging Configuration Change Observed","Changing the configuration of logging to any mission-critical service or platform should be closely monitored.  This signal identifies when AWS logging configurations have been changed.  The severity of signals increases depending on the type of action observed.  For instance disabling/deleting logs is a higher severity than enabling logs."
"Amazon AWS","CloudTrail","MATCH-S00540","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.007","AWS CloudTrail Network Access Control List Deleted","Enforcing network-access controls is one of the defensive mechanisms used by cloud administrators to restrict access to a cloud instance. After the attacker has gained control of the console by compromising an admin account, they can delete a network ACL and gain access to the instance from anywhere."
"Amazon AWS","CloudTrail","MATCH-S00308","templated_match","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1087, _mitreAttackTechnique:T1526, _mitreAttackTechnique:T1087.004","AWS CloudTrail - OpsWorks Describe Permissions Event","This event sourced from AWS OpsWorks occurs rarely.  It could indicate that an adversary is attempting to collect information for later attack.  When successful, the Describe Permissions event returns information regarding a specified stack's permissions for access."
"Amazon AWS","CloudTrail","MATCH-S00109","templated_match","Privilege Escalation","True","False","","_mitreAttackTactic:TA0003, _mitreAttackTactic:TA0004, _mitreAttackTechnique:T1098, _mitreAttackTechnique:T1098.001","AWS CloudTrail - Permissions Boundary Lifted","A Permissions Boundary was lifted against an IAM User or Role. This unusual action may increase the effect permissions to the asset by allowing all the actions granted in its permissions policies."
"Amazon AWS","CloudTrail","MATCH-S00105","templated_match","Exfiltration","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTechnique:T1530","AWS CloudTrail - Public S3 Bucket Exposed","An AWS request occurred to either create a new public bucket or to add a bucket access control list (ACL) to an existing bucket to make it public. While there are some use cases for AWS S3 public buckets, most are generally private. The security operations center should have a strong understanding of which buckets are allowed to be public."
"","","MATCH-S00213","templated_match","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1069, _mitreAttackTechnique:T1087, _mitreAttackTechnique:T1526, _mitreAttackTechnique:T1087.004, _mitreAttackTechnique:T1069.003","AWS CloudTrail - Reconnaissance related event","This signal identifies a small number of CloudTrail API actions that when observed could indicate an actors intent to enumerate the environment.  These events are generally benign, and occur during normal operations.  Use this signal as context around an unfolding security story."
"Amazon AWS","CloudTrail","MATCH-S00096","templated_match","Initial Access","True","False","","_mitreAttackTactic:TA0001, _mitreAttackTactic:TA0003, _mitreAttackTactic:TA0004, _mitreAttackTactic:TA0005, _mitreAttackTactic:TA0042, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.004, _mitreAttackTechnique:T1078.001","AWS CloudTrail - Root Console Successful Login Observed","This signal detects when a successful root account login occurred within an AWS account. This privileged account should seldomly be used within an AWS cloud environment. Amazon's best practices state you should only use the root account to create the initial local IAM users and assigned one of the accounts administrative privileges or to perform rare tasks only available to the root user. The security operations center should be aware when the AWS root account is accessed."
"Amazon AWS","CloudTrail","MATCH-S00764","templated_match","Collection","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTechnique:T1530","AWS CloudTrail - S3 Bucket Public Access Block Disabled","Detects when GetPublicAccessBlock returns NoSuchPublicAccessBlockConfiguration, indicating the public access block has all values are set to false or the feature is disabled."
"Amazon AWS","CloudTrail","MATCH-S00210","templated_match","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","AWS CloudTrail - SQS List Queues Event","This event sourced from AWS SQS occurs rarely.  It could indicate that an adversary is attempting to collect information for later attack.  When successful, the List Queues event returns all SQS queues that may be valid targets for further probing/attack."
"Amazon AWS","CloudTrail","MATCH-S00240","templated_match","Execution","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552, _mitreAttackTechnique:T1552.004, _mitreAttackTechnique:T1552.005","AWS CloudTrail - ScheduleKeyDeletion in KMS","Deleting cryptographic key material managed by KMS can be risky. The risk is that after key material is deleted, cypher text may remain that is now indecipherable. Because of this risk, AWS enforces a minimum 7 day waiting period. A key cannot be deleted, it must first be scheduled for deletion by the system. This signal indicates that a key has been scheduled or canceled for deletion. This signal in context of other signals around this entity may describe a hostile pattern of attack."
"Amazon AWS","CloudTrail","MATCH-S00247","templated_match","Execution","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552, _mitreAttackTechnique:T1552.004, _mitreAttackTechnique:T1552.005","AWS CloudTrail - Secrets Manager sensitive admin action observed","Administrative changes to the AWS Secrets Manager aren't overtly hostile, but are generally low volume and can be considered sensitive.  These signals highlight when these actions occur and can be used in context of other suspicious activity to raise the risk of a hostile entity.  Several Secrets Manager API actions are included and assessed as sensitive."
"Amazon AWS","CloudTrail","THRESHOLD-S00051","threshold","Initial Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552, _mitreAttackTechnique:T1552.005","AWS CloudTrail - IAM User Generating AccessDenied Errors Across Multiple Actions","An IAM account sent multiple requests to perform a wide distinct number of AWS actions in a short time frame while receiving the error code AccessDenied. This could indicate an account attempting to enumerate their access across the AWS account."
"Amazon AWS","CloudTrail","MATCH-S00238","templated_match","Execution","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552, _mitreAttackTechnique:T1552.004, _mitreAttackTechnique:T1552.005","AWS CloudTrail - sensitive activity in KMS","AWS KMS is an encryption and key management web service.  Besides encrypting and decrypting data, users and administrators can use this service to create keys, manage keys etc.  This signal indicates activity that enables and disables keys explicitly.  This activity has been surveyed to be a low volume event and could be considered suspicious given other activity involving the entity.  Additionally, monitoring for these events is required to achieve certain industry audit compliance."
"Amazon AWS","CloudTrail","MATCH-S00664","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS CloudWatch Alarm Actions Disabled","Detects the AWS CloudWatch DisableAlarmActions API action. DisableAlarmActions disables the actions for the specified alarms. When an alarm's actions are disabled, the alarm actions do not execute when the alarm state changes."
"Amazon AWS","CloudTrail","MATCH-S00663","templated_match","Impact","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS CloudWatch Alarm Deletion","Detects the AWS CloudWatch DeleteAlarms API action. DeleteAlarms deletes the specified alarms. You can delete up to 100 alarms in one operation. However, this total can include no more than one composite alarm. For example, you could delete 99 metric alarms and one composite alarms with one operation, but you can't delete two composite alarms with one operation."
"Amazon AWS","CloudTrail","MATCH-S00662","templated_match","Impact","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS CloudWatch Anomaly Detector Deletion","Detects the AWS CloudWatch DeleteAnomalyDetector API action. DeleteAnomalyDetector deletes the specified anomaly detection model from your account."
"Amazon AWS","CloudTrail","MATCH-S00665","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS CloudWatch Log Group Deletion","Detects the AWS CloudWatch DeleteLogGroup API action. DeleteLogGroup deletes the specified log group and permanently deletes all the archived log events associated with the log group."
"Amazon AWS","CloudTrail","MATCH-S00661","templated_match","Impact","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS CloudWatch Log Stream Deletion","Detects the AWS CloudWatch DeleteLogStream API action. DeleteLogStream deletes the specified log stream and permanently deletes all the archived log events associated with the log stream."
"Amazon AWS","CloudTrail","MATCH-S00715","templated_match","Impact","True","False","","_mitreAttackTactic:TA0040, _mitreAttackTechnique:T1485","AWS Cloud Storage Deletion","Detects the removal of cloud storage infrastructure in AWS."
"Amazon AWS","CloudTrail","MATCH-S00671","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS Config Recorder Deletion","Detects the AWS Config DeleteConfigurationRecorder API action. DeleteConfigurationRecorder deletes the configuration recorder.
After the configuration recorder is deleted, AWS Config will not record resource configuration changes until you create a new configuration recorder."
"Amazon AWS","CloudTrail","MATCH-S00672","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS Config Recorder Stopped","Detects the AWS Config StopConfigurationRecorder API action. StopConfigurationRecorder stops recording configurations of the AWS resources you have selected to record in your AWS account."
"Amazon AWS","CloudTrail","MATCH-S00670","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS Config Service Tampering","Detects various AWS Config API actions that involve the alternation of a Config service."
"","","OUTLIER-S00024","outlier","Impact","True","False","","_mitreAttackTactic:TA0040, _mitreAttackTechnique:T1565.001","AWS DynamoDB Outlier in GetItem Events from User","An outlier in GetItem events to a DynamoDB resource within an hour time period has been detected. Ensure that the user performing these actions has business justification for modifying DynamoDB tables and instances. Consider excluding authorized users from this signal or tweaking the minimum count value if this signal is triggering too often. Data events from DynamoDB are required in order for this signal to function."
"","","OUTLIER-S00033","outlier","Impact","False","False","","_mitreAttackTactic:TA0040, _mitreAttackTechnique:T1565.001","AWS DynamoDB Outlier in PutItem Events from User","[Disabled by Default] This rule detects an unusual amount of PutItem events to a DynamoDB resource within an hour time period (DynamoDB data events are required). Verify the user is authorized to modify the DynamoDB tables and instances. This rule is disabled by default due to potential volume of signals, before enabling consider excluding authorized users via match lists, and adjust floor value and model sensitivity as needed."
"Amazon AWS","CloudTrail","MATCH-S00654","templated_match","Impact","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1578, _mitreAttackTechnique:T1578.003","AWS ECS Cluster Deleted","Monitors for execution of the API call 'DeleteCluster' which may indicate that an attacker is attempting to disrupt operations."
"","","MATCH-S00873","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1078.004","AWS EKS Cluster Configuration Updated","AWS EKS clusters contain various configuration options, including for which IP addresses can access the cluster API. Ensure that this change is authorized and expected."
"","","MATCH-S00872","templated_match","Execution","True","False","","_mitreAttackTechnique:T1609, _mitreAttackTactic:TA0002","AWS EKS Failed Curl Authentication Attempt","Failed instances of curl usage within a containerized environment should occur rarely, investigate the source IP address used to ensure that it is legitimate."
"","","MATCH-S00871","templated_match","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTechnique:T1611","AWS EKS Pod Shared Object Modification or Creation","A Kubernetes pod was either created, updated or patched with a shared process namespace."
"","","MATCH-S00870","templated_match","Credential Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552.007","AWS EKS Secrets Created","Kubernetes secrets may be created for legitimate purposes, ensure that this secrets created is from an IAM account that is expected to manage Kubernetes workloads on EKS."
"","","MATCH-S00869","templated_match","Credential Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552.007","AWS EKS Secrets Deleted","Kubernetes secrets may be deleted for legitimate purposes, ensure that this secrets created is from an IAM account that is expected to manage Kubernetes workloads on EKS."
"Amazon AWS","CloudTrail","MATCH-S00307","templated_match","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTactic:TA0005, _mitreAttackTactic:TA0008, _mitreAttackTechnique:T1550, _mitreAttackTechnique:T1550.001","AWS - Excessive OAuth Application Permissions Scope","Alert when an OAuth application has requested a high number of permissions to aspects of AWS."
"Amazon AWS","CloudTrail","MATCH-S00716","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1612, _mitreAttackTactic:TA0005","AWS Image Creation","Detects the creation of an image in AWS."
"Amazon AWS","CloudTrail","MATCH-S00717","templated_match","Impact","True","False","","_mitreAttackTechnique:T1485, _mitreAttackTactic:TA0040","AWS Image Deletion","Detects the deletion of an image in AWS."
"Amazon AWS","CloudTrail","THRESHOLD-S00106","threshold","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","AWS Image Discovery","Detects various describe and/or list commands used for an image in AWS."
"Amazon AWS","CloudTrail","MATCH-S00718","templated_match","Persistence","True","False","","_mitreAttackTechnique:T1525, _mitreAttackTactic:TA0003","AWS Image Modification","Detects the modification of an image in AWS."
"Amazon AWS","CloudTrail","MATCH-S00719","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1578, _mitreAttackTechnique:T1578.002, _mitreAttackTactic:TA0005","AWS Instance Creation","Detects the creation of an instance in AWS."
"Amazon AWS","CloudTrail","MATCH-S00720","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1578, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1578.003","AWS Instance Deletion","Detects the deletion of an instance in AWS."
"Amazon AWS","CloudTrail","THRESHOLD-S00107","threshold","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","AWS Instance Discovery","Detects various describe and/or list commands used for an instance in AWS."
"Amazon AWS","CloudTrail","MATCH-S00721","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1578, _mitreAttackTactic:TA0005","AWS Instance Modification","Detects the modification of an instance in AWS."
"Amazon AWS","CloudTrail","MATCH-S00874","templated_match","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","AWS Lambda Function Recon","Observed when Lambda getfunction AWS API call is made, indicitive of possible recon activity"
"Amazon AWS","CloudTrail","MATCH-S00306","templated_match","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTactic:TA0005, _mitreAttackTactic:TA0008, _mitreAttackTechnique:T1550, _mitreAttackTechnique:T1550.001","AWS - New UserPoolClient Created","A UserPoolClient is an entity that has permission to call unauthenticated API operations (operations that do not have an authenticated user)."
"Amazon AWS","CloudTrail","MATCH-S00679","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0042","AWS Route 53 Domain Registered","Detects the AWS Route 53 RegisterDomain API action. Domains are registered either by Amazon Registrar (for .com, .net, and .org domains) or by Gandi (for all other domains). An adversary could use this API action to register a domain for malicious activity."
"Amazon AWS","CloudTrail","THRESHOLD-S00093","threshold","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","AWS Route 53 Reconnaissance","Detects a variety of AWS Route 53 API actions that when observed together could indicate an actors intent to enumerate the environment."
"Amazon AWS","CloudTrail","MATCH-S00677","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS Route 53 Service Tampering","Detects various AWS Route 53 API actions that involve the alteration of a Route 53 service."
"Amazon AWS","CloudTrail","MATCH-S00680","templated_match","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","AWS Route 53 TestDNSAnswer","Detects the AWS Route 53 TestDNSAnswer API action. TestDNSAnswer gets the value that Amazon Route 53 returns in response to a DNS request for a specified record name and type. You can optionally specify the IP address of a DNS resolver, an EDNS0 client subnet IP address, and a subnet mask. An adversary could use this API action for testing if various DNS types and domains are allowed."
"Amazon AWS","CloudTrail","MATCH-S00678","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0042, _mitreAttackTechnique:T1584, _mitreAttackTechnique:T1584.002","AWS Route 53 Traffic Policy Creation","Detects the AWS Route 53 CreateTrafficPolicy and CreateTrafficPolicyInstance API actions. These actions are used to create DNS resource record sets for domain or subdomain names."
"","","OUTLIER-S00025","outlier","Exfiltration","True","False","","_mitreAttackTactic:TA0010, _mitreAttackTechnique:T1567.002","AWS S3 Outlier in PutObject Denied Events","This rule utilizes an hourly baseline to detect an outlier in the number of denied PutObject access events to an S3 bucket. AWS Data events are necessary for this signal to function. Denied PutObject access events can stem from IAM policies or bucket policies. Look at the user, role, IP address from the events in order to determine whether this activity is expected. In certain cases, access denied events to S3 can also result in unexpected AWS charges."
"Amazon AWS","CloudTrail","MATCH-S00825","templated_match","Credential Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552, _mitreAttackTactic:TA0007, _mitreAttackTechnique:T1580","AWS Secrets Manager Enumeration","A ListSecrets API call has been made to the AWS Secrets Manager service. Ensure that this activity is expected and authorized."
"Amazon AWS","CloudTrail","MATCH-S00875","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1070","AWS VPC FLow Log Deletion","Detects when a VPC Flow log is deleted which should be an indicator of defense evasion and removal of compromise traces."
"Amazon AWS","CloudTrail","MATCH-S00674","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.007","AWS WAF Access Control List Updated","Detects the AWS WAF UpdateWebACL API action. UpdateWebACL updates the specified WebACL. A web ACL defines a collection of rules to use to inspect and control web requests. Each rule has an action defined (allow, block, or count) for requests that match the statement of the rule. In the web ACL, you assign a default action to take (allow, block) for any request that does not match any of the rules. The rules in a web ACL can be a combination of the types Rule, RuleGroup, and managed rule group. You can associate a web ACL with one or more AWS resources to protect. The resources can be an Amazon CloudFront distribution, an Amazon API Gateway REST API, an Application Load Balancer, or an AWS AppSync GraphQL API."
"Amazon AWS","CloudTrail","THRESHOLD-S00092","threshold","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","AWS WAF Reconnaissance","Detects a variety of AWS WAF API actions that when observed together could indicate an actors intent to enumerate the environment."
"Amazon AWS","CloudTrail","MATCH-S00676","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.007","AWS WAF Rule Group Updated","Detects the AWS WAF UpdateRuleGroup API action. UpdateRuleGroup updates the specified RuleGroup. A rule group defines a collection of rules to inspect and control web requests that you can use in a WebACL. When you create a rule group, you define an immutable capacity limit. If you update a rule group, you must stay within the capacity. This allows others to reuse the rule group with confidence in its capacity requirements."
"Amazon AWS","CloudTrail","MATCH-S00675","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.007","AWS WAF Rule Updated","Detects the AWS WAF UpdateRule API action. UpdateRule inserts or deletes Predicate objects in a rule. Each Predicate object identifies a predicate, such as a ByteMatchSet or an IPSet, that specifies the web requests that you want to allow, block, or count."
"Amazon AWS","CloudTrail","MATCH-S00673","templated_match","Defense Evasion","True","False","","_mitreAttackTechnique:T1562, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562.008, _mitreAttackTechnique:T1562.001","AWS WAF Service Tampering","Detects various AWS WAF API actions that involve the deletion of a WAF service."
"","","MATCH-S00814","templated_match","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1203","Abnormal Child Process - sdiagnhost.exe - CVE-2022-30190","Monitors for exploitation of CVE-2022-30190 as indicated by an abnormal child process for sdiagnhost.exe. More information on this vulnerability can be found at the Microsoft Security Response Center: https://msrc-blog.microsoft.com/2022/05/30/guidance-for-cve-2022-30190-microsoft-support-diagnostic-tool-vulnerability/"
"","","MATCH-S00139","templated_match","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTactic:TA0005, _mitreAttackTechnique:T1036, _mitreAttackTechnique:T1036.004, _mitreAttackTechnique:T1036.005","Abnormal Parent-Child Process Combination","This alert detects a Windows process spawned by a parent process that does not normally spawn it."
